generic_name,unit,auto_calculate,route,reference_regimen,warnings,source_name,source_edition,source_ref,name_ar,aliases,antidote,contraindications,interactions,high_risk
ciprofloxacin ophthalmic solution,mg,no,Topical ocular only. Nasolacrimal occlusion advised; remove contact lenses during infection. A white corneal precipitate may form in ulcer treatment (resolves).,"Therapeutic class: Second-generation fluoroquinolone antibiotic (topical ophthalmic). | Indications: Bacterial conjunctivitis; bacterial corneal ulcers/keratitis caused by susceptible organisms. | Dosage form and strength: Ophthalmic solution 0.3% (3 mg/mL), 5 mL. 412 | Adult dosing: Conjunctivitis: 1–2 drops every 2 h while awake for 2 days, then every 4 h for 5 days. Corneal ulcer: 2 drops every 15 min for 6 h, then every 30 min for the rest of day 1; taper thereafter per protocol. | Pediatric dosing: Conjunctivitis: usable from ≥1 year (same regimen); specialist supervision for keratitis. | Renal/hepatic adjustment: None required for topical use. | Administration: Topical ocular only. Nasolacrimal occlusion advised; remove contact lenses during infection. A white corneal precipitate may form in ulcer treatment (resolves). | Prescriber authority: General prescriber / ophthalmology (keratitis by specialist). | Additional notes: Corneal precipitate during ulcer therapy is expected and reversible. Tetracycline HCl Eye Ointment (Opticyclin)","Cautions and warnings: Superinfection with prolonged use; discontinue at the first sign of rash/hypersensitivity; not for viral/fungal infection. | Adverse drug reactions: Local burning/discomfort, white crystalline corneal precipitate, lid- margin crusting, foreign-body sensation, itching. | Monitoring: Clinical response; corneal status in keratitis. | Pregnancy category: Use only if clearly needed; negligible systemic exposure. (Former FDA category C.) | Lactation: Negligible systemic exposure; compatible with breastfeeding with caution. | Storage: Store at room temperature; protect from light. Discard 4 weeks after opening.",Jazan Specialists Hospital Drug Formulary 2026 — Approved by P&T Committee (Dr. Hafiz Malhan),JSH 2026,Drug Formulary p.411,,,,Hypersensitivity to ciprofloxacin or other quinolones.,Minimal topically.,no
cisatracurium,mg,no,IV only after induction; ensure adequate anaesthesia (no sedation/analgesia). Minimal cardiovascular/histamine effect; give via a monitored line with quantitative TOF. Store refrigerated and protect from light; check potency/expiry before use.,"Therapeutic class: Benzylisoquinolinium non-depolarising neuromuscular blocker — intermediate-acting (Hofmann elimination), minimal histamine release. | Indications: Adjunct to GA for intubation and intra-operative/ICU relaxation; preferred where haemodynamic stability and organ-independent clearance matter. | Dosage form and strength: 10 mg/5 mL injection, vial (2 mg/mL). | Adult dosing: Intubation: 0.15 mg/kg IV (onset ~2–3 min, duration ~45–60 min); 0.2 mg/kg gives faster onset. Maintenance: 0.03 mg/kg boluses every ~20 min, or infusion 1–3 mcg/kg/min (typically ~3 mcg/kg/min initially, then 1–2 mcg/kg/min) titrated to 1–2 twitches on TOF. ICU relaxation: infusion 1–3 mcg/kg/min titrated (preferred for long infusions — less laudanosine than atracurium). 451 | Pediatric dosing: ≥2 years: intubation 0.1–0.15 mg/kg IV; maintenance 1–2 mcg/kg/min titrated to TOF. Infants 1–23 months: ~0.15 mg/kg. | Renal/hepatic adjustment: No dose change in renal or hepatic impairment (Hofmann elimination is organ-independent) — the relaxant of choice when both organs are impaired and for prolonged ICU infusion. | Administration: IV only after induction; ensure adequate anaesthesia (no sedation/analgesia). Minimal cardiovascular/histamine effect; give via a monitored line with quantitative TOF. Store refrigerated and protect from light; check potency/expiry before use. | Prescriber authority: Restricted to anaesthesia / critical care. | Additional notes: Minimal histamine release and organ-independent clearance — the relaxant of choice for unstable / organ-failure patients and long ICU infusions. Reversal Agents Neostigmine (NMB reversal) | Package size / initial strength: 2 mg/ml | Diluents: NS, D5W. | Preparation, administration and stability: NS, D5W. IV Push IV Infusion Rate of Administration Standard Dilution Final Concentration* Maximum Concentration** Rate of Administration Adults Undiluted over 5 to 10 seconds Dilute 100 mg to get a total volume of 250 ml 0.1 or 0.4 mg/ml 0.4 mg/ml Adjusted according to the patient's response as determined by peripheral nerve stimulation. Pediatrics Undiluted over 5 to 10 seconds Dilute 100 mg to get a total volume of 250 ml 0.1 to 0.2 mg/ml 0.4 mg/ml Adjusted according to the patient's response as determined by peripheral nerve stimulation. Neonates No data available Stability (Beyond Use Date) Handling and Administration Instructions (Axillary Label) Reconstituted vial Diluted/Final Product Room Temp Refrigerator Room Temp Refrigerator High Alert Medication (HAM). Look-Alike and Sound-Alike (LASA) medication. Protect vials from light. Do not freeze. Use vials within 21 days upon removal from the refrigerator to room temperature of 25°C. - - 24 hours 24 hours * Final Concentration: For the final product after dilution. ** Maximum Concentration: For fluid restricted patients. 122","Cautions and warnings: Provides no sedation/analgesia; prolonged block if overdosed; laudanosine accumulation (much less than atracurium). | Adverse drug reactions: Bradycardia, mild hypotension, flushing (rare); prolonged block if overdosed. | Monitoring: TOF monitoring, BP , SpO₂; confirm recovery (TOF ≥0.9) before extubation. | Pregnancy category: Does not readily cross the placenta; used in obstetric/ICU anaesthesia. (FDA category B.) | Lactation: Compatible. | Storage: Store refrigerated 2–8°C; protect from light.",Jazan Specialists Hospital Drug Formulary 2026 — Approved by P&T Committee (Dr. Hafiz Malhan),JSH 2026,Drug Formulary p.450 | IV Sterile Preparations Manual p.120,,,,Hypersensitivity to cisatracurium or benzylisoquinoliniums.,"Potentiated by aminoglycosides, magnesium, volatile agents and loop diuretics. Additive with other neuromuscular blockers.",no
cisplatin,mg,no,"IV infusion only (never IM/SC). Mandatory pre-treatment hydration and maintenance of adequate urine output for ≥24 h after the dose (e.g. IV saline ± mannitol ± magnesium supplementation). Premedicate with strong antiemetics (cisplatin is highly emetogenic — 5-HT3 antagonist + dexamethasone + NK1 antagonist). 297 Infuse over the time specified by the protocol (commonly 1–2 h or longer); protect the prepared solution from light and DO NOT use aluminium-containing needles/sets (platinum precipitates, loss of potency). Cytotoxic handling precautions; dilute in saline-containing fluid (chloride stabilises the drug).","Therapeutic class: Antineoplastic — platinum-coordination (alkylating-like) compound. | Indications: Testicular, ovarian, bladder, lung (NSCLC/SCLC), head and neck, cervical and other solid tumours, generally within combination chemotherapy protocols. | Dosage form and strength: Injection (concentrate) 50 mg/50 mL (1 mg/mL). | Adult dosing: Advanced testicular cancer: 20 mg/m² IV daily for 5 days per cycle (in combination); single-dose regimens 75–100 mg/m² also used. Advanced ovarian cancer: 75–100 mg/m² IV once every 3–4 weeks (with cyclophosphamide); single agent 100 mg/m² once every 4 weeks; heavily pre-treated 50–70 mg/m² every 4 weeks. Advanced bladder cancer: 50–70 mg/m² IV once every 3–4 weeks. Head & neck cancer: ~100 mg/m² every 3 weeks, or 40 mg/m² weekly with radiotherapy (per protocol). Cervical cancer (chemoradiation): 40 mg/m² weekly (max 70 mg/dose) with radiotherapy. Lung cancer: 75–100 mg/m² every 3–4 weeks within combination regimens. Do not repeat a course until serum creatinine <1.5 mg/dL (and/or BUN <25 mg/dL), platelets and WBC have recovered, and hearing is normal. | Pediatric dosing: Dosing is determined by the treating oncology protocol (BSA-based); the manufacturer does not give fixed paediatric doses. Commonly used within protocols at ~20 mg/m²/day for 5 days, or higher single doses per regimen. Ototoxicity is more severe in children, especially <5 years — audiometric and vestibular monitoring recommended. | Renal/hepatic adjustment: Renal: nephrotoxicity is the major dose-limiting toxicity. Do not start/repeat until serum creatinine <1.5 mg/dL (BUN <25). In baseline renal impairment, reduce the dose or use an alternative; ensure vigorous hydration ± magnesium; avoid concurrent nephrotoxins. Hepatic: no specific dose adjustment defined; use with caution and monitor. | Administration: IV infusion only (never IM/SC). Mandatory pre-treatment hydration and maintenance of adequate urine output for ≥24 h after the dose (e.g. IV saline ± mannitol ± magnesium supplementation). Premedicate with strong antiemetics (cisplatin is highly emetogenic — 5-HT3 antagonist + dexamethasone + NK1 antagonist). 297 Infuse over the time specified by the protocol (commonly 1–2 h or longer); protect the prepared solution from light and DO NOT use aluminium-containing needles/sets (platinum precipitates, loss of potency). Cytotoxic handling precautions; dilute in saline-containing fluid (chloride stabilises the drug). | Prescriber authority: Restricted to specialist oncology prescribing (cytotoxic protocol). | Additional notes: Highly emetogenic and nephrotoxic — hydration and antiemetic premedication are mandatory. NEVER contact aluminium (inactivation). Do not repeat until renal function, counts and hearing recover. Confirm the exact dose/schedule against the specific chemotherapy protocol.","Cautions and warnings: Cumulative dose-related NEPHROTOXICITY (main dose-limiting); OTOTOXICITY (tinnitus/high-frequency hearing loss, worse in children); severe nausea/vomiting; myelosuppression (can be fatal from infection); peripheral neuropathy; hypersensitivity/anaphylaxis; electrolyte loss (hypomagnesaemia, hypokalaemia, hypocalcaemia); hepatotoxicity; secondary malignancy; embryo-fetal toxicity and infertility. | Adverse drug reactions: Nausea/vomiting (severe), nephrotoxicity, ototoxicity, myelosuppression, peripheral neuropathy, hypomagnesaemia/hypokalaemia/hypocalcaemia, anorexia, alopecia, raised LFTs, hypersensitivity reactions, infertility. | Monitoring: Serum creatinine, BUN and creatinine clearance before each course; electrolytes (Mg²⁺, K⁺, Ca²⁺, Na⁺); CBC with differential and platelets; audiometry (baseline and serial, especially children); neurological exam; LFTs; fluid balance/urine output; serum uric acid. | Pregnancy category: Can cause fetal harm — contraindicated/avoid in pregnancy; effective contraception during and after treatment (males and females). | Lactation: Do not breastfeed during treatment (excreted in milk; risk to the infant). | Storage: Store intact vials at room temperature; DO NOT refrigerate (precipitation); protect from light. Use diluted solution within the labelled time.",Jazan Specialists Hospital Drug Formulary 2026 — Approved by P&T Committee (Dr. Hafiz Malhan),JSH 2026,Drug Formulary p.296,,,,Pre-existing significant renal impairment; myelosuppression; hearing impairment; hypersensitivity to cisplatin or other platinum compounds; pregnancy/breast-feeding.,"Additive nephrotoxicity with aminoglycosides, amphotericin B, contrast media, NSAIDs; additive ototoxicity with aminoglycosides and loop diuretics; may reduce phenytoin levels; nephrotoxicity can raise levels of renally-cleared drugs (e.g. methotrexate, bleomycin); avoid live vaccines.",no
citalopram / escitalopram,mg,no,May be administered without regard to food.,"Therapeutic class: Antidepressant (SSRI) | Indications: Major depression; anxiety disorders (panic, GAD, social anxiety, OCD – escitalopram). | Dosage form and strength: Citalopram tablet 20 mg; escitalopram tablet 10 mg. | Adult dosing: Citalopram: 20 mg/day (max 40 mg; 20 mg in elderly). Escitalopram: 10 mg/day (max 20 mg; 10 mg in elderly). | Pediatric dosing: Adolescents (specialist): escitalopram from 10 mg/day; citalopram per specialist. | Renal/hepatic adjustment: Renal: caution if severe. Hepatic: reduce dose (citalopram max 20 mg; escitalopram start 5 mg). | Administration: May be administered without regard to food. | Prescriber authority: All physicians may prescribe | Additional notes: Observe maximum-dose limits due to QT risk.","Cautions and warnings: Dose-dependent QT prolongation (dose caps); initial anxiety/suicidal ideation; hyponatraemia. | Adverse drug reactions: Nausea, insomnia, sexual dysfunction, sweating, QT prolongation. | Monitoring: ECG/QT (dose-dependent), sodium, suicidality (early). | Pregnancy category: Use only if clearly needed; | Lactation: Caution – monitor infant | Storage: Room temperature.",Jazan Specialists Hospital Drug Formulary 2026 — Approved by P&T Committee (Dr. Hafiz Malhan),JSH 2026,Drug Formulary p.144,,,,Concurrent MAO inhibitors; congenital long -QT; concurrent QT - prolonging drugs. 145,Serotonin syndrome with MAOIs/tramadol/triptans; additive QT; additive bleeding with antiplatelets/anticoagulants.,no
cladribine,mg,no,IV: dilute and give by continuous or short infusion per the regimen. Use irradiated blood products (transfusion-associated graft-versus- host disease risk); ensure tumour-lysis precautions and infection prophylaxis.,Therapeutic class: Antimetabolite (purine analogue) | Indications: Hairy-cell leukaemia; chronic lymphocytic leukaemia and indolent lymphomas. (A separate oral product is used in multiple sclerosis under neurology.) | Dosage form and strength: Injection (preservative-free) 10 mg/10 mL. | Adult dosing: Hairy-cell leukaemia: IV 0.09 mg/kg/day continuous infusion ×7 days (single course); or 0.14 mg/kg/day ×5 days. Indolent lymphoma: 0.1 mg/kg/day CIVI ×7 days. Irradiated blood; tumour-lysis precautions. | Pediatric dosing: Per specialist protocol (e.g. AML/LCH) 5–9 mg/m²/day ×5 days. | Renal/hepatic adjustment: Renal: reduce in moderate impairment; caution/avoid if severe. Hepatic: caution. Withhold for severe neutropenia/infection. | Administration: IV: dilute and give by continuous or short infusion per the regimen. Use irradiated blood products (transfusion-associated graft-versus- host disease risk); ensure tumour-lysis precautions and infection prophylaxis. | Prescriber authority: Oncology/specialist prescribing only | Additional notes: HIGH-ALERT. Use irradiated blood; prolonged immunosuppression. Per protocol.,"Cautions and warnings: Prolonged immunosuppression/lymphopenia (opportunistic infections); myelosuppression; neurotoxicity at high doses; tumour- lysis; use irradiated blood. | Adverse drug reactions: Myelosuppression, prolonged lymphopenia/infections, fever, fatigue, neurotoxicity (high dose), tumour-lysis. | Monitoring: Full blood count; signs of infection; renal/hepatic function; uric acid. | Pregnancy category: D – contraindicated | Lactation: Contraindicated | Storage: Refrigerate per product; protect from light.",Jazan Specialists Hospital Drug Formulary 2026 — Approved by P&T Committee (Dr. Hafiz Malhan),JSH 2026,Drug Formulary p.308,,,,Severe myelosuppression; pregnancy; hypersensitivity.,Additive myelosuppression/immunosuppression. 309,no
clarithromycin,mg,no,Immediate-release tablets and granules for suspension: administer with or without meals. Administer every 12 hours rather than “twice daily” to avoid peak and trough variation. Shake the suspension well before each use.,"Therapeutic class: Antibiotic, Macrolide | Indications: Pharyngitis/tonsillitis; acute maxillary sinusitis and acute exacerbation of chronic bronchitis; pneumonia due to susceptible organisms; uncomplicated skin/skin -structure infections; disseminated and prophylaxis of Mycobacterium avium complex disease; part of H. pylori eradication regimens; alternative for endocarditis prophylaxis. | Dosage form and strength: Tablet 250 mg; suspension 125 mg/5 mL. injection 500 mg vial | Adult dosing: Adults: 250–500 mg every 12 hours for 7–14 days. Acute maxillary sinusitis: 500 mg every 12 hours for 14 days. Mycobacterial infection: 500 mg twice daily (with other agents). H. pylori: 250–500 mg twice daily within a combination regimen. | Pediatric dosing: Children >6 months: 15 mg/kg/day divided every 12 hours for 10 days. Mycobacterial infection (prevention/treatment): 7.5 mg/kg twice daily up to 500 mg twice daily. | Renal/hepatic adjustment: Renal impairment (CrCl <30 mL/min): reduce the normal dose by 50%. With atazanavir: CrCl 30–60 mL/min – reduce by 50%; CrCl <30 mL/min – reduce by 75%. | Administration: Immediate-release tablets and granules for suspension: administer with or without meals. Administer every 12 hours rather than “twice daily” to avoid peak and trough variation. Shake the suspension well before each use. | Prescriber authority: All physicians may prescribe 191 | Additional notes: Strong CYP3A4 inhibitor – review concomitant therapy carefully. | Package size / initial strength: 500 mg | Diluents: NS, D5W, RL. Reconstitution | Preparation, administration and stability: NS, D5W, RL. Reconstitution Reconstitution Volume 10 ml of SWFI Concentration After Reconstitution 50 mg/ml IV Push IV Infusion Rate of Administration Standard Dilution Final Concentration* Maximum Concentration** Rate of Administration Adults Do NOT administer as IV push Dilute 500 mg to get a total volume of 250 ml 2 mg/ml 5 mg/ml 60 minutes Pediatrics Do NOT administer as IV push Pediatrics >12 years: Dilute 500 mg to get a total volume of 250 ml 2 mg/ml 5 mg/ml 60 minutes Neonates No data available Stability (Beyond Use Date) Handling and Administration Instructions (Axillary Label) Reconstituted vial Diluted/Final Product Room Temp Refrigerator Room Temp Refrigerator Look-Alike and Sound-Alike (LASA) medication. Protect from light 24 hours$ 24 hours 6 hours 24 hours$ * Final Concentration: For the final product after dilution. $Version 2 update ** Maximum Concentration: For fluid restricted patients. 51","Cautions and warnings: Renal impairment; breast-feeding; QT prolongation; myasthenia gravis. | Adverse drug reactions: Diarrhoea, vomiting, abnormal taste, increased blood urea nitrogen; QT prolongation. | Monitoring: ECG/QT in at -risk patients; interacting drug levels; hepatic/renal function. | Pregnancy category: C | Lactation: Excreted in breast milk – use with caution | Storage: Tablets at room temperature; do NOT refrigerate the reconstituted suspension.",Jazan Specialists Hospital Drug Formulary 2026 — Approved by P&T Committee (Dr. Hafiz Malhan),JSH 2026,Drug Formulary p.190 | IV Sterile Preparations Manual p.49,,,,"Hepatic disease; concurrent use with certain CYP3A4 substrates (e.g. some statins, ergot alkaloids) and QT-prolonging drugs; pregnancy (per local labelling).","Potent CYP3A4 inhibitor – raises statins (myopathy), carbamazepine, theophylline, warfarin, ciclosporin, colchicine; additive QT prolongation.",no
clindamycin,mg,no,"IM: deep IM injection; rotate sites; do not exceed 600 mg in a single injection. IV: never administer undiluted as a bolus; administer by IV intermittent infusion over at least 10 to 60 minutes, at a maximum rate of 30 mg/minute (do not exceed 1,200 mg/hour). Oral: capsules should be taken with a full glass of water.","Therapeutic class: Antibiotic, Lincosamide | Indications: Active against aerobic and anaerobic streptococci (except enterococci), most staphylococci, Bacteroides and Actinomyces; bacterial vaginosis; endocarditis prophylaxis in penicillin -allergic high -risk patients; adjunct in toxin-mediated disease and PCP; topical for severe acne. | Dosage form and strength: Injection 300 mg/2 mL; topical solution 2%, 75 mg/5 mL oral liquid | Adult dosing: Adults: IM/IV 1.2–1.8 g/day in 2–4 divided doses (maximum 4.8 g/day). Endocarditis prophylaxis (penicillin -allergic, unable to take oral): 600 mg IV within 30 minutes before the procedure. Pelvic 192 inflammatory disease: IV 900 mg every 8 hours (with gentamicin), then oral therapy to complete 14 days. | Pediatric dosing: Infants and children (avoid in neonates – injection contains benzyl alcohol): IM/IV – <1 month 15–20 mg/kg/day; >1 month 20–40 mg/kg/day in 3–4 divided doses. | Renal/hepatic adjustment: No significant renal or hepatic dose adjustment is usually required; use with caution in severe hepatic impairment. | Administration: IM: deep IM injection; rotate sites; do not exceed 600 mg in a single injection. IV: never administer undiluted as a bolus; administer by IV intermittent infusion over at least 10 to 60 minutes, at a maximum rate of 30 mg/minute (do not exceed 1,200 mg/hour). Oral: capsules should be taken with a full glass of water. | Prescriber authority: All physicians may prescribe | Additional notes: High risk of C. difficile colitis; injection contains benzyl alcohol – avoid in neonates. Metronidazole Metronidazole is bactericidal against anaerobic bacteria and active against several protozoa. It is well absorbed orally and penetrates tissues and the CSF well. ▪ Nitroimidazole | Package size / initial strength: 150 mg/ml | Diluents: NS, D5W. | Preparation, administration and stability: NS, D5W. IV Push IV Infusion Rate of Administration Standard Dilution Final Concentration* Maximum Concentration* * Rate of Administration Adults Do NOT administer as IV push Dilute 300 mg to get a total volume of 50 ml 6 to 12 mg/ml 18 mg/ml 10 min Don't exceed 30 mg/min Dilute 600 mg to get a total volume of 50 ml 20 min Dilute 900 mg to get a total volume of 50 to 100 ml 30 min Dilute 1200 mg to get a total volume of 100 ml 40 min Administration of more than 1200 mg in a single 1-hour infusion is not recommended. Pediatrics Do NOT administer as IV push Dilute dose to get a total volume of 50-100 6 to 12 mg/ml 18 mg/ml 10 to 60 minutes (Don’t exceed 30 mg/min) Administration of more than 1200 mg in a single 1-hour infusion is not recommended. Neonates Do NOT administer as IV push Dilute dose to get a total volume of 50-100 6 mg/ml 6 mg/ml$ 10 to 60 minutes (Don’t exceed 30 mg/min) Stability (Beyond Use Date) Handling and Administration Instructions (Axillary Label) Reconstituted vial Diluted/Final Product Room Temp Refrigerator Room Temp Refrigerator Look-Alike and Sound-Alike (LASA) medication. Discard unused portion. - - 16 days 32 days * Final Concentration: For the final product after dilution. $Version 2 update ** Maximum Concentration: For fluid restricted patients. 52","Cautions and warnings: Bacterial overgrowth; risk of C. difficile -associated diarrhoea and pseudomembranous colitis; concurrent use with erythromycin is not recommended. | Adverse drug reactions: Diarrhoea (discontinue treatment), abdominal discomfort, oesophagitis/oesophageal ulcers, taste disturbance, nausea, vomiting; C. difficile colitis. | Monitoring: Bowel function (C. difficile); hepatic and renal function with prolonged therapy. | Pregnancy category: B | Lactation: Excreted in breast milk – manufacturer suggests discontinuing the drug or not nursing | Storage: Store at room temperature; do not refrigerate (may solidify).",Jazan Specialists Hospital Drug Formulary 2026 — Approved by P&T Committee (Dr. Hafiz Malhan),JSH 2026,Drug Formulary p.191 | IV Sterile Preparations Manual p.50,,,,Diarrhoeal states; avoid injections containing benzyl alcohol in neonates.,Antagonism with erythromycin (avoid combination); potentiates neuromuscular blockers; additive effect with other agents affecting gut flora.,no
clindamycin 1% topical solution (derma-t),mg,no,"Topical to clean, dry skin; often combined with benzoyl peroxide to reduce resistance. 423","Therapeutic class: Topical lincosamide antibiotic (anti-acne). | Indications: Inflammatory acne vulgaris (papulopustular). | Dosage form and strength: Topical solution 1% clindamycin phosphate, 30 mL. | Adult dosing: Apply a thin film to the affected area twice daily. | Pediatric dosing: ≥12 years: as adult. | Renal/hepatic adjustment: None for topical use. | Administration: Topical to clean, dry skin; often combined with benzoyl peroxide to reduce resistance. 423 | Prescriber authority: General prescriber / dermatology. | Additional notes: Combine with benzoyl peroxide to limit resistance. Silver Sulfadiazine 1% Cream (Flamazine)","Cautions and warnings: Rare diarrhoea/colitis; avoid eyes/mucosa; resistance with monotherapy — combine with benzoyl peroxide. | Adverse drug reactions: Dryness, erythema, peeling, burning; rarely GI effects. | Monitoring: Acne response over 6–12 weeks. | Pregnancy category: Category B — considered acceptable when needed. | Lactation: Topical use considered compatible. | Storage: Store at room temperature.",Jazan Specialists Hospital Drug Formulary 2026 — Approved by P&T Committee (Dr. Hafiz Malhan),JSH 2026,Drug Formulary p.422,,,,Hypersensitivity to clindamycin/lincomycin; history of antibiotic- associated colitis.,Avoid with topical erythromycin (antagonism); neuromuscular blockers (theoretical).,no
clobetasol propionate 0.05% cream (cloderm),mg,no,"Topical only, thin layer; avoid the face, axillae, groin and occlusion unless directed. Wash hands after use.","Therapeutic class: Topical corticosteroid — very potent (super-high potency, Class I). | Indications: Short-term treatment of severe steroid-responsive dermatoses resistant to milder steroids (plaque psoriasis, lichen planus, discoid lupus, severe eczema). 418 | Dosage form and strength: Cream 0.05% (clobetasol propionate), 25 g. | Adult dosing: Apply a thin layer to the affected area once or twice daily. Do not exceed 50 g/week. Limit to ≤2 consecutive weeks; review and step down to a milder steroid. | Pediatric dosing: Not recommended <12 years; if essential, the shortest course and smallest area under specialist supervision. | Renal/hepatic adjustment: None for topical use, but systemic absorption rises with large area/occlusion. | Administration: Topical only, thin layer; avoid the face, axillae, groin and occlusion unless directed. Wash hands after use. | Prescriber authority: Restricted to dermatology / specialist for severe disease. | Additional notes: Reserve for short courses; step down to a milder steroid once controlled. Betamethasone Ointment (Betasone)","Cautions and warnings: HPA-axis suppression, skin atrophy, striae, telangiectasia with prolonged/large-area use; rebound on withdrawal; caution on the face and in children. | Adverse drug reactions: Burning, atrophy, striae, telangiectasia, hypopigmentation, acneiform eruption, secondary infection. | Monitoring: Skin response and atrophy; signs of systemic effect with extensive use. | Pregnancy category: Use only if clearly needed; limit amount/duration. (Former FDA category C.) | Lactation: Avoid application to the breast; otherwise low risk in limited use. | Storage: Store at room temperature; do not freeze.",Jazan Specialists Hospital Drug Formulary 2026 — Approved by P&T Committee (Dr. Hafiz Malhan),JSH 2026,Drug Formulary p.417,,,,"Untreated cutaneous infection (bacterial/fungal/viral), rosacea, acne, perioral dermatitis; hypersensitivity.","Minimal; with high systemic absorption, CYP3A4 inhibitors may rarely cause systemic steroid effects.",no
clomifene citrate,mg,no,Oral: take as a short course starting early in the cycle; limit the number of treatment cycles (specialist supervision).,"Therapeutic class: Anti-oestrogen (ovulation stimulant) | Indications: Anovulatory infertility (induction of ovulation); investigation/treatment of selected male infertility (off-label). | Dosage form and strength: Tablet 50 mg. | Adult dosing: Adults (female, ovulatory failure): 50 mg/day for 5 days, starting on about day 5 of the cycle (first course); increase in subsequent cycles only if ovulation does not occur (specialist). Male infertility (off-label): per specialist protocol. | Pediatric dosing: Not used in children. 264 | Renal/hepatic adjustment: Hepatic impairment: contraindicated in liver disease. | Administration: Oral: take as a short course starting early in the cycle; limit the number of treatment cycles (specialist supervision). | Prescriber authority: Specialist use (reproductive medicine/gynaecology) | Additional notes: Stop immediately if visual disturbance occurs; counsel on multiple - pregnancy risk. Hypothalamic and pituitary hormones These agents replace or modulate hypothalamic and pituitary hormones. They include posterior -pituitary hormones (desmopressin, vasopressin, terlipressin), anterior-pituitary and hypothalamic hormones (somatropin, gonadorelin), dopamine agonists that suppress prolactin and growth hormone (bromocriptine, cabergoline), the somatostatin analogue octreotide, and gonadotrophin-releasing hormone (GnRH) analogues (goserelin, leuprorelin, triptorelin). ▪ Posterior pituitary hormones and analogues","Cautions and warnings: Use the smallest effective dose in polycystic ovary syndrome (ovarian hyperstimulation risk); warn about multiple pregnancy; discontinue if visual disturbance occurs. | Adverse drug reactions: Hot flushes, visual disturbance (stop if it occurs), gastrointestinal upset, ovarian enlargement/cysts and hyperstimulation, breast tenderness; multiple pregnancy. | Monitoring: Ovulation/ovarian response (ultrasound) under specialist care; visual symptoms. | Pregnancy category: X | Lactation: May reduce lactation – use with caution , Clomiphene is present in breast milk. | Storage: Store at room temperature.",Jazan Specialists Hospital Drug Formulary 2026 — Approved by P&T Committee (Dr. Hafiz Malhan),JSH 2026,Drug Formulary p.263,,,,Hepatic disease; ovarian cysts (other than polycystic ovaries); abnormal uterine bleeding of undetermined cause; endometrial carcinoma; pregnancy.,Few significant drug interactions.,no
clomipramine,mg,no,"During titration, may divide doses and administer with meals to decrease gastrointestinal side effects. After titration, may administer total daily dose at bedtime to decrease daytime sedation.","Therapeutic class: Antidepressant (TCA) | Indications: Obsessive-compulsive disorder; major depression; phobic and panic disorders. | Dosage form and strength: Tablet 10 mg and 25 mg; capsule 50 mg. | Adult dosing: Oral: start 25 mg/day, titrate to 100–250 mg/day (depression/OCD). | Pediatric dosing: Children ≥10 years (OCD, specialist): weight-based titration. | Renal/hepatic adjustment: Renal: caution. Hepatic: reduce dose. | Administration: During titration, may divide doses and administer with meals to decrease gastrointestinal side effects. After titration, may administer total daily dose at bedtime to decrease daytime sedation. | Prescriber authority: All physicians may prescribe 150 | Additional notes: First-line TCA for OCD. ▪ Other antidepressants","Cautions and warnings: Most serotonergic TCA; anticholinergic and cardiac effects; seizure risk; dangerous in overdose. | Adverse drug reactions: Dry mouth, sedation, constipation, sexual dysfunction, orthostatic hypotension. | Monitoring: ECG/QT, anticholinergic effects, seizures, BP . | Pregnancy category: Use only if clearly needed | Lactation: Caution – monitor infant | Storage: Room temperature.",Jazan Specialists Hospital Drug Formulary 2026 — Approved by P&T Committee (Dr. Hafiz Malhan),JSH 2026,Drug Formulary p.149,,,,Recent MI; arrhythmias/heart block; concurrent MAO inhibitors; severe hepatic impairment.,Serotonin syndrome with MAOIs/SSRIs; additive QT/anticholinergic; CYP2D6 inhibitors raise levels.,no
