generic_name,unit,auto_calculate,route,reference_regimen,warnings,source_name,source_edition,source_ref
ammonium chloride,mg,no,IV inf,Initial strength: 5 meq/ml ammoniu m and chloride 5mEq/ml (20)ml. Diluents: D5W NS. Final concentration (IVP/IVPB): 100 – 200 meq / 500-1000 ml NS. Standard preparation: 100 – 200 meq / 500-1000 ml NS. Maximum concentration: 100 – 200 meq / 500-1000 ml NS. Preparation at maximum concentration: 100 – 200 meq / 500-1000 ml NS. Premixed stability (RT/Ref): Immedi ately. Rate of administration: IVPB: 5 ml / mint.,"Special conditions: -Do not freeze -ammonium chloride may crystallize when exposed to low temperatures. If crystallization occurs, the injection should be warmed to room temperature in a water bath prior to use. -Do not exceed a concentration of 1–2% ammonium chloride. | Monitoring: -Monitor for symptoms of ammonia toxicity (pallor, sweating, retching, bradycar dia, arrhythmi as, hypervent ilation, local and general twitching, tonic convulsio ns, coma). -Monitor serum bicarbona te -Monitor arterial blood gases -LFT | Y-site compatibility: Compatibility: No information","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.5
amobarbital,mg,no,IV inf IM,Initial strength: 100 mg/ml For IV use 100mg/ml For IM use 200mg/ml. Diluents: D5W NS SWFI. Reconstitution volume: 5 ml SWFI For IV use 5ml SWFI For IM use 2.5ml SWFI. Final concentration (IVP/IVPB): NA IVP / 100mg/ml IVPB. Standard preparation: 500mg/5ml SWFI. Maximum concentration: 100mg/ml. Preparation at maximum concentration: 500mg/5ml SWFI. Vial stability (RT/Ref): 30 mint RT / NA Ref. Premixed stability (RT/Ref): NA RT / NA Ref. Rate of administration: IVP: NA IVP / IVPB: 50 mg/ minut e IVPB.,Special conditions: -Rotate the ampoule to facilitate solution and must not be shaken - IM :a solution containing 200 mg/mL (20%) 500 mg of the sterile powder for injection should be dissolved in 2.5 mL of SWFI -IM dose should not exceed 5ml at any one site -Do not use if solution does not become absolutely clear within 5 min after reconstitution | Monitoring: -vital signs -BP - respiratio n -cardiac function -KFT -LFT hematolog ic paramete rs | Y-site compatibility: Compatibility: No information,"Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.5
amoxacillin/ claulenic acid,mg,no,"IVP, IV inf",Strength (name column): 600mg 1.2gm 600mg/10ml 1.2gm/20ml. Initial strength: 60mg/ ml. Diluents: NS. Reconstitution volume: 600mg dose 10 ml SWFI 1.2gm dose 20ml SWFI. Final concentration (IVP/IVPB): Undiluted / 12mg/ml. Standard preparation: Premixed 600mg/50ml 1.2gm/100 ml NS. Maximum concentration: 12mg/ml. Preparation at maximum concentration: Premixed 600mg/50ml NS. Vial stability (RT/Ref): Use immedia tly. Premixed stability (RT/Ref): 4hrs / 8hrs. Rate of administration: IVP: 10 mint / IVPB: 30 mint.,"Special conditions: Signs and symptoms of anaphylaxis during first dose Glucose containing solution not recommended Im not recommend | Monitoring: KF T RF T Hematologi c function | Y-site compatibility: Compatibility Lorazepam,clarit hromycin","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.6
ampicillin,mg,no,IVP IV inf,Strength (name column): 500 mg 1000 mg. Initial strength: 100mg/ ml. Diluents: NS D5W. Reconstitution volume: 5 ml SWFI 500 mg vial. 9.2ml SWFI 1g vial. Final concentration (IVP/IVPB): Undiluted / 20mg/ ml. Standard preparation: Premixed: 1g/50ml NS 1g/50ml D5W. Maximum concentration: 30mg/ ml. Preparation at maximum concentration: 3g/100ml NS. Vial stability (RT/Ref): 1 hr - if D5W used as a diluent the resulting solution stable for 2 hours vs. 8 hours if prepare d with NS (D5W has limited stability) / 4hrs. Premixed stability (RT/Ref): 8 hrs / 2 days. Rate of administration: IVP: 3-5 mint for 500m g 10-15 mint for 1- 2 g / IVPB: 30-60 min.,"Special conditions: -Intraoeritoneal injection dissolve 500mg with 10 ml SWFI -Intrapleural Injection 500mg with 5-10 ml SWFI -Intra-articular use 500mg in 5 ml SWFI -NS is the diluents of choice - IM dissolve 500mg with 1.8 mL SWFI shake vigorously to give 250 mg/mL - IM ,IVP stable for 1hrr -Rapid infusion may cause seizure | Monitoring: CBC LFT KFT Allergic reactio n | Y-site compatibility: Compatibility: Aciclovir, aztreonam, esmolol….etc","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.6
antithymocyte globulin,mg,no,IV inf,Strength (name column): 25mg/ml lymphocyte immune globulin) (ATG) (Rabbit). Initial strength: 5mg/ml. Diluents: NS D5W. Reconstitution volume: 5ml SWFI. Final concentration (IVP/IVPB): NA IVP / 0.5 mg/ml IVPB. Standard preparation: Premixed: 25mg/50 ml NS 25mg/50 ml D5W. Maximum concentration: 0.5 mg/ml. Preparation at maximum concentration: Premixed: 25mg/50 ml NS 25mg/50 ml D5W. Vial stability (RT/Ref): 4 hrs RT / NA Ref. Premixed stability (RT/Ref): Use immedi atly RT / NA Ref. Rate of administration: IVP: NA IVP / IVPB: 6 hrs for first infusion 4 hrs subsequent infusion IVPB.,"Special conditions: - Mix diluted solution by gently inverting infusion bag only once or twice. - Use(0.22micron)in line filter -Allow the vials of ATG and diluents to warm to room temp Before reconstitution -Protected from light and freezing -Should be prepared immediately before use | Monitoring: Lymphoc yte profile -CBC -Platelet count -Vital signs during administr ation -KFT Hypersen sitivity reaction -Signs and symptoms of infection | Y-site compatibility: Compatibility: Heparin sodium , hydrocortisone sodium succinate","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.6
antivenom (polyvalent scorpion) (equine),mg,no,IV inf,Initial strength: 3.5mg/ml NS (1 amp). Diluents: NS. Final concentration (IVP/IVPB): 5 ampoules diluted in 50ml 0.5 NS. Standard preparation: 5 ampoules/50 ml 0.5 NS. Maximum concentration: 5 ampoules diluted in 50ml 0.5 NS. Preparation at maximum concentration: 5 ampoules/50 ml 0.5 NS. Rate of administration: IVPB: 30 mint.,"Special conditions: -Administer test dose first, injection 0.1 ml antivenom intradermally If positive use agoat antivenom -may repeat dose up to 20 amps if necessary -monitor patient closely during and up to 60 mint | Y-site compatibility: No information","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.7
antivenom (poluvalent snake) (equine),mg,no,"IVP, IV inf",Initial strength: Combinati on of 6 saudi snakes venom. Final concentration (IVP/IVPB): Undiluted / Dilute 40 ml antivenom in 5 ml/kg NS. Standard preparation: Dilute 40 ml antivenom in 5 ml/kg NS. Maximum concentration: Dilute 40 ml antiveno m in 5 ml/kg NS. Preparation at maximum concentration: Dilute 40 ml antivenom in 5 ml/kg NS. Rate of administration: IVP: 4 ml/mi nt / IVPB: 30-60 mint.,"Monitoring: Urine output Pulse, BP, heart rate Urea and electrolyte | Y-site compatibility: No information","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.7
atenolol,mg,no,"IVP, IV inf",Strength (name column): 5mg/10ml. Initial strength: 0.5mg/ml. Final concentration (IVP/IVPB): Undiluted / 0.5mg/ml. Standard preparation: Premixed: 5mg in 50 ml NS 5mg in 50 ml D5W. Maximum concentration: 0.5mg/ml. Preparation at maximum concentration: Premixed: 5mg in 50 ml NS 5mg in 50 ml D5W. Premixed stability (RT/Ref): Use immedi ately / 24 hrs. Rate of administration: IVP: 1mg/ mint / IVPB: 30 mint.,"Special conditions: -Protect from light | Monitoring: -ECG -Blood pressure -Heart rate | Y-site compatibility: Meropenem, morphine sulfate","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.7
atropine,mg,no,IVP,Initial strength: 0.4 mg/ml ampoule or 0.6 mg/ml ampoule or 0.1 mg/ml prefilled syringe. Final concentration (IVP/IVPB): undiluted IVP / NA IVPB. Vial stability (RT/Ref): NA RT / NA Ref. Premixed stability (RT/Ref): immedi ately RT / NA Ref. Rate of administration: IVP: ≤1 mg/m int IVP / IVPB: NA IVPB.,"Special conditions: -Do not freeze -Administer without further dilution -Slow injection cause paradoxical bradycardia -IV atropine sulfate should be injected rapidly during resuscitative efforts, followed by a 20-mL flush of IV fluid and elevation of the extremity for 10– 20 seconds in order to facilitate drug delivery to the central circulation -Intratracheal: dilute in 10 ml of NS or SWFI | Monitoring: -Cardiac monitor -Heart rate -Blood pressure -Pulse -Mental status | Y-site compatibility: fentanyl, hydrocortisone sodium succinate, meropenem,","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.7
azathioprine,mg,no,IVP IV inf,Initial strength: 10mg/ ml. Diluents: D5W NS. Reconstitution volume: 5 ml SWFI. Final concentration (IVP/IVPB): 5-10 mg/ml (Withdraw the dose and dilute to 20 mL with NaCl 0.9% after given the dose flush immediately with at least 50 ml NS) / 0.5mg/ ml. Standard preparation: 50mg/ 100ml D5W 50mg/ 100ml NS. Maximum concentration: 0.5mg/ ml. Preparation at maximum concentration: 50mg/ 100ml D5W 50mg/ 100ml NS. Vial stability (RT/Ref): 24 hrs. Premixed stability (RT/Ref): 24 hrs / 24 hrs. Rate of administration: IVP: 3-5 min / IVPB: 30-60 min.,Special conditions: IM not recommended -Swirl vial gently -Do not shake -Protect from light -Azathioprine injection is alkaline and very irritant and it should only be used when the oral route is impractical | Monitoring: CBC Platelet counts Total Bilirubin LFT KFT | Y-site compatibility: No information,"Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.8
azithromycin,mg,no,IV inf,Initial strength: 100 mg/ml. Diluents: D5W NS. Reconstitution volume: 4.8 ml SWFI. Final concentration (IVP/IVPB): 1 mg/ml. Standard preparation: 250 mg/250ml NS Or 250 mg/250 ml D5W. Maximum concentration: 2 mg/ml. Preparation at maximum concentration: 500 mg/250ml NS Or 500 mg/250 ml D5W. Vial stability (RT/Ref): 24 hrs. Premixed stability (RT/Ref): 24 hrs / 7 day. Rate of administration: IVPB: 1 mg/ml conce rate over 3 hrs Or 2 mg/ml conce rate over 1 hrs.,"Special conditions: - Not for IM or Bolus -Do not mix with other drugs | Monitoring: -LFT -CBC | Y-site compatibility: Compatibility: Doripenem, HCL,Tigecycline, Caspofungin..etc","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.8
basiliximab,mg,no,IVP IV inf,Initial strength: 4mg/ml. Diluents: D5W NS. Reconstitution volume: 5 ml SWFI. Final concentration (IVP/IVPB): 4mg/ml / 0.4 mg/ml. Standard preparation: 20 mg/ 50ml NS 20mg/50ml D5W. Maximum concentration: 0.8mg/ml. Preparation at maximum concentration: 20 mg/25ml NS 20 mg/25ml D5W. Vial stability (RT/Ref): 4 hrs / 24 hrs. Rate of administration: IVPB: 20-30 mint.,"Special conditions: -IV bolus may cause nausea, vomiting, and local reactions, including pain - the diluted IV solution should be mixed by gently inverting the bag; should not be shaken to prevent foaming formatiom | Monitoring: Signs and symptoms of acute rejection | Y-site compatibility: Compatibility: No information","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.8
botulinim toxin type a botox,unit,no,IM,Strength (name column): 100 units/vial. Diluents: NS without preserv ative. Reconstitution volume: 1ml volume NS give strength 10 units /0.1ml 2ml volume NS 5 units /0.1ml 4ml volume NS 2.5units/0.1 ml 8ml volume NS 1.25units/0. 1 ml. Final concentration (IVP/IVPB): For IM use IVP / For IM use IVPB. Standard preparation: For IM use. Maximum concentration: For IM use. Preparation at maximum concentration: For IM use. Vial stability (RT/Ref): 4 hrs RT / NA Ref. Premixed stability (RT/Ref): NA RT / NA Ref. Rate of administration: IVP: NA IVP / IVPB: NA IVPB.,Special conditions: -do not shake vial -refrigerate -for IM use only -do not freeze,"Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.8
calcitonin,unit,no,IV inf,Strength (name column): 100 I.U/ml. Initial strength: 100 I.U/ml. Diluents: NS. Final concentration (IVP/IVPB): 5-10 I.U/kg. Standard preparation: 5-10 I.U/kg In 500 ml NS Hypercalcemic crisis. Maximum concentration: 300 I.U. Preparation at maximum concentration: 300 I.U/ 500 ml NS acute pancreatitis. Premixed stability (RT/Ref): immedi ately. Rate of administration: IVPB: 6 hrs.,Monitoring: -serum electrolyte -alkaline phosphata se -24 hrs urine collection for hydroxyp roline excretion (paget's disease) | Y-site compatibility: Compatibility: No information,"Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.9
calcitriol,mg,no,IVP,"Strength (name column): (1,25dihydroxych olecalciferol) 1mcg/ml. Initial strength: 1mcg/ ml. Final concentration (IVP/IVPB): 1 mcg/ml. Rate of administration: IVP: 2-3 mint.",Special conditions: -dose is usually administered as an IV bolus through the catheter at the end of dialysis -syringe stable at room temperature for 8 hrs -protect from light | Monitoring: -symptom of hypercalc emia -serum electrolyte -serum Albumin | Y-site compatibility: Compatibility: No information,"Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.9
calcium chloride,mg,no,IVP IV inf,Strength (name column): 10% 1 gm/10ml. Initial strength: 100 mg/ml 1.4 mEq/ml. Diluents: D5W NS. Final concentration (IVP/IVPB): Undiluted IVP / 5 mg/ ml IVPB. Standard preparation: 0.5g/ 100ml D5W 0.5g/ 100ml NS. Maximum concentration: 20mg/ ml. Preparation at maximum concentration: 5g/ 250ml D5W 5g/ 250ml NS. Vial stability (RT/Ref): Use fresh RT / NA Ref. Premixed stability (RT/Ref): 24 hrs RT / NA Ref. Rate of administration: IVP: 3–5 mint IVP / IVPB: 1 hr IVPB.,"Special conditions: -Do not mix with carbonates, phosphates, sulfates, or tartrates. Do not give by IM or Subcutaneous -stop the infusion if patient complains pain or discomfort - Small veins should not be used for infusion - 1 gm =6.8 mmol=13.6 meq =273 mg | Monitoring: BP ECG Serum Ca KFT Heart rate Site of injection | Y-site compatibility: Adrenaline, lidocaine, milrinone, noradrenaline, verapamil","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.9
calcium folinate,mg,no,IVP IV inf,Initial strength: 10mg/ ml. Diluents: D5W NS. Final concentration (IVP/IVPB): 10mg/ml / ≤10mg/ml. Standard preparation: ≤10mg/ml. Maximum concentration: 10mg/ml. Preparation at maximum concentration: 10mg/m l. Vial stability (RT/Ref): Use immedia tely When reconstit ute with SWFI Stable for 7 day when reconstit ute with bacterio static WFI containi ng benzyl alcohol. Premixed stability (RT/Ref): Use immedi ately / 24 hrs. Rate of administration: IVP: 160 mg/m inute / IVPB: 2 hr.,"Special conditions: -protect from light -The drug should be given parenterally rather than orally in patients with GI toxicity, nausea, or vomiting and when individual doses greater than 25 mg -reconstituted with bacteriostatic water containing benzyl alcohol should be used only when parenteral doses of 10 mg/m2 or lower are required | Monitoring: -serum Ca - Diarrhoea - Creatinin e and methotrex ate -LFT -KFT -CBC | Y-site compatibility: Aztreonam, fluconazole, furosemide, granisetron, linezolid….etc","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.10
calcium gluconate,mg,no,IVP IV inf,Strength (name column): 10%. Initial strength: 100 mg/ml 0.465 mEq/ml. Diluents: D5W NS. Final concentration (IVP/IVPB): Undiluted IVP / 20mg/ ml IVPB. Standard preparation: Premixed: 1g/ 50ml D5W 1g/ 50ml NS. Maximum concentration: 50mg/ ml. Preparation at maximum concentration: 5g/ 100ml D5W 5g/ 100ml NS. Vial stability (RT/Ref): Use fresh RT / NA Ref. Premixed stability (RT/Ref): 24 hrs RT / NA Ref. Rate of administration: IVP: 1.5 ml/mi nt IVP / IVPB: 2ml/mint IVPB.,Special conditions: -Do not Refrigerate -IM is not recommended -Small veins should not be used for infusion -Should not be infused through an arterial catheter because of the potential for vasospasm -IV calcium should be used cautiously in patients receiving cardiac glycosides because of the potential of arrhythmias -Use small needle into large vein | Monitoring: ECG Serum Ca KFT Blood pressure Injection site | Y-site compatibility: No information,"Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.10
capreomycin,mg,no,IV inf,Initial strength: 500mg/ml 370mg/ml. Diluents: NS. Reconstitution volume: For IV Dissolve in 2 ml of NS or SWFI For IM adminstration 2ml NS or SWFI 500mg/ ml conc or 2.15 ml NS or SWFI 370m g/ml Conc 2.63ml NS or SWFI 310m g/ml Conc 3.3ml NS or SWFI 260mg/ ml conc 4.3ml NS or SWFI 210mg/ ml conc And allow 2-3 mint for dissolution. Final concentration (IVP/IVPB): 370mg/ml. Standard preparation: 795.5mg/ 100ml NS. Maximum concentration: 500mg/ml. Preparation at maximum concentration: 1gm/100ml NS. Vial stability (RT/Ref): Use immedia tely / 24 hrs. Premixed stability (RT/Ref): Use immedi ately / 24 hrs. Rate of administration: IVPB: 60 mint.,Special conditions: -can be administer IM | Monitoring: Audiomet ric measurem ents and vestibular function -KFT -LFT -serum K level | Y-site compatibility: No information,"Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.11
caspofungin,mg,no,IV inf,Initial strength: 5mg/ ml 7mg/ ml. Diluents: NS. Reconstitution volume: 10.5 ml SWFI. Final concentration (IVP/IVPB): NA IVP / 0.2mg/ ml IVPB. Standard preparation: 50mg/ 250ml NS. Maximum concentration: 0.5mg/ ml. Preparation at maximum concentration: 50 mg/ 100ml NS. Vial stability (RT/Ref): Use fresh RT / 24 hrs Ref. Premixed stability (RT/Ref): 24 hrs RT / 48 hrs Ref. Rate of administration: IVP: NA IVP / IVPB: 60 min IVPB.,"Special conditions: Refrigerate -Do not mix with dextrose -Fluid restriction patient: 50 mg and 35 mg doses (but not 70 mg) may be given in 100 mL NaCl 0.9% | Monitoring: -CBC, electrolyte -Vital signs -Tissue, blood and or sputum culture before and after treatment -LFT | Y-site compatibility: No information","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.11
